ABUNDANCE,ADDITIONS,AGGREGATED,CLASS,CONDITION,CORRECTED,CTDEEP.LabID,DATE_COL,DEEPTaxaID,Device,DISTINCT,FAMILY,GENUS,Habitat,IMMATURE,INDETERMINATE,INFRACLASS,INFRAORDER,KINGDOM,LAB_COM,LAB_NAME,LAB_SAMPLE_ID,LAB_TIN,LIFE_STAGE,ORDER,PHYLUM,Rep,SAMPTYPE,SERIAL,SPECIES,staSeq,Stream,SUBCLASS,SUBFAMILY,SUBGENUS,SUBORDER,SUBPHYLUM,SUBSPECIES,SUBTRIBE,SUPERFAMILY,SUPERORDER,TAXON_NAME,TAXONOMIST,TRIBE,X._IN_RC,X._SUB,RBV
1,,0,Insecta,N,1,RBV-2024-001,4/12/2024,863,KN1M2,Y,Ptilodactylidae,Anchytarsus,Riffle,N,N,,,Animalia,,EcoAnalysts,8436.6-1,2696,Larvae,Coleoptera,Arthropoda,1,ABM-RBV,114668,Anchytarsus bicolor,15314,Un-named Tributary of Main Stem of Eightmile at Pleasant Valley Preserve,Pterygota,,,Polyphaga,Hexapoda,,,,,Anchytarsus bicolor,L. Smith,,0,100,1
2,,0,Insecta,N,2,RBV-2024-001,4/12/2024,742,KN1M2,Y,Tipulidae,Tipula,Riffle,N,N,,,Animalia,,EcoAnalysts,8436.6-1,764,Larvae,Diptera,Arthropoda,1,ABM-RBV,119037,sp.,15314,Un-named Tributary of Main Stem of Eightmile at Pleasant Valley Preserve,,Tipulinae,,,Hexapoda,,,,,Tipula sp.,L. Smith,,0,100,1
1,,0,Insecta,N,1,RBV-2024-001,4/12/2024,420,KN1M2,Y,Heptageniidae,Epeorus,Riffle,N,N,,,Animalia,,EcoAnalysts,8436.6-1,209,Larvae,Ephemeroptera,Arthropoda,1,ABM-RBV,100626,sp.,15314,Un-named Tributary of Main Stem of Eightmile at Pleasant Valley Preserve,,,,,Hexapoda,,,,,Epeorus sp.,L. Smith,,0,100,1
2,,0,Insecta,N,2,RBV-2024-001,4/12/2024,994,KN1M2,Y,Heptageniidae,Maccaffertium,Riffle,N,N,,,Animalia,,EcoAnalysts,8436.6-1,232,Larvae,Ephemeroptera,Arthropoda,1,ABM-RBV,100532,Maccaffertium modestum,15314,Un-named Tributary of Main Stem of Eightmile at Pleasant Valley Preserve,,,,,Hexapoda,,,,,Maccaffertium modestum,L. Smith,,0,100,1
1,,0,Insecta,N,1,RBV-2024-001,4/12/2024,67,KN1M2,Y,Heptageniidae,Maccaffertium,Riffle,Y,N,,,Animalia,,EcoAnalysts,8436.6-1,236,Larvae,Ephemeroptera,Arthropoda,1,ABM-RBV,697957,sp.,15314,Un-named Tributary of Main Stem of Eightmile at Pleasant Valley Preserve,,,,,Hexapoda,,,,,Maccaffertium sp.,L. Smith,,0,100,1
1,,0,Insecta,N,1,RBV-2024-001,4/12/2024,750,KN1M2,Y,Corydalidae,Nigronia,Riffle,N,N,,,Animalia,,EcoAnalysts,8436.6-1,3686,Larvae,Megaloptera,Arthropoda,1,ABM-RBV,115031,Nigronia serricornis,15314,Un-named Tributary of Main Stem of Eightmile at Pleasant Valley Preserve,Pterygota,Chauliodinae,,,Hexapoda,,,,Neuropterida,Nigronia serricornis,L. Smith,,0,100,1
1,,0,Insecta,N,1,RBV-2024-001,4/12/2024,883,KN1M2,Y,Aeshnidae,Boyeria,Riffle,N,N,,,Animalia,,EcoAnalysts,8436.6-1,2797,Larvae,Odonata,Arthropoda,1,ABM-RBV,101647,Boyeria vinosa,15314,Un-named Tributary of Main Stem of Eightmile at Pleasant Valley Preserve,,,,Anisoptera,Hexapoda,,,,,Boyeria vinosa,L. Smith,,0,100,1
1,,0,Insecta,N,1,RBV-2024-001,4/12/2024,893,KN1M2,Y,Cordulegastridae,Cordulegaster,Riffle,N,N,,,Animalia,,EcoAnalysts,8436.6-1,3692,Larvae,Odonata,Arthropoda,1,ABM-RBV,102031,Cordulegaster maculata,15314,Un-named Tributary of Main Stem of Eightmile at Pleasant Valley Preserve,,,,Anisoptera,Hexapoda,,,,,Cordulegaster maculata,L. Smith,,0,100,1
3,,0,Insecta,N,3,RBV-2024-001,4/12/2024,325,KN1M2,Y,Peltoperlidae,Tallaperla,Riffle,N,N,,,Animalia,,EcoAnalysts,8436.6-1,355,Larvae,Plecoptera,Arthropoda,1,ABM-RBV,102500,sp.,15314,Un-named Tributary of Main Stem of Eightmile at Pleasant Valley Preserve,Pterygota,,,,Hexapoda,,,,,Tallaperla sp.,L. Smith,,0,100,1
5,,0,Insecta,N,5,RBV-2024-001,4/12/2024,354,KN1M2,Y,Perlidae,Eccoptura,Riffle,N,N,,,Animalia,,EcoAnalysts,8436.6-1,1354,Larvae,Plecoptera,Arthropoda,1,ABM-RBV,102940,Eccoptura xanthenes,15314,Un-named Tributary of Main Stem of Eightmile at Pleasant Valley Preserve,Pterygota,,,,Hexapoda,,,,,Eccoptura xanthenes,L. Smith,,0,100,1
